timestamp,source_ip,target_ip,port,path,status_code,username,login_success,method,protocol,host,user_agent,bytes_sent,duration_ms,tls_fingerprint
2026-07-08T10:03:14,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1201,20,
2026-07-08T10:03:16,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1207,20,
2026-07-08T10:03:18,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1205,20,
2026-07-08T10:03:20,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1200,20,
2026-07-08T10:03:22,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1201,20,
2026-07-08T10:03:24,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1204,20,
2026-07-08T10:03:26,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1202,20,
2026-07-08T10:03:28,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1203,20,
2026-07-08T10:03:30,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1206,20,
2026-07-08T10:03:32,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1207,20,
2026-07-08T10:03:34,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1208,20,
2026-07-08T10:03:36,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1210,20,
2026-07-08T10:03:38,198.51.100.2,10.0.0.30,80,/home,200,,,GET,tcp,portal.lab,load-tester,1211,20,
2026-07-08T10:04:00,198.51.100.88,10.0.0.42,443,"/search?q=1%20union%20select%20username,password%20from%20users",500,,,GET,tcp,app.lab,sqlmap-demo,5400,420,ja3-browser
2026-07-08T10:04:10,198.51.100.77,10.0.0.42,443,/search?q=%3Cscript%3Ealert(1)%3C/script%3E,200,,,GET,tcp,app.lab,Mozilla/5.0,850,55,ja3-browser
2026-07-08T10:04:20,198.51.100.66,10.0.0.42,443,/download?file=../../etc/passwd,403,,,GET,tcp,app.lab,Mozilla/5.0,260,45,ja3-browser
2026-07-08T10:04:30,198.51.100.55,10.0.0.42,443,/shell?cmd=whoami,500,,,GET,tcp,app.lab,curl/8.0,670,190,ja3-browser
2026-07-08T10:04:40,198.51.100.44,10.0.0.42,443,/beacon,200,,,POST,tcp,app.lab,cobalt-demo,140,12,ja3-malware-demo
2026-07-08T10:05:00,198.51.100.200,10.0.0.9,3389,/rdp,403,,,GET,tcp,internal.lab,recon-bot,300,30,
2026-07-08T10:05:10,198.51.100.200,10.0.0.9,22,/admin,403,,,GET,tcp,internal.lab,recon-bot,320,28,
2026-07-08T10:05:20,198.51.100.200,10.0.0.9,443,/search?q=or%201=1,500,,,GET,tcp,internal.lab,recon-bot,4600,300,
2026-07-08T10:05:30,198.51.100.200,10.0.0.9,22,/login,401,root,false,POST,tcp,internal.lab,recon-bot,220,95,
2026-07-08T10:06:00,10.1.0.25,10.1.0.10,22,/admin,403,,,GET,tcp,ops.lab,internal-scanner,310,35,
2026-07-08T10:06:10,10.1.0.25,10.1.0.11,3389,/admin,403,,,GET,tcp,ops.lab,internal-scanner,312,36,
2026-07-08T10:06:20,10.1.0.25,10.1.0.12,445,/admin,403,,,GET,tcp,ops.lab,internal-scanner,314,37,
2026-07-08T10:06:30,10.1.0.25,10.1.0.13,5985,/admin,403,,,GET,tcp,ops.lab,internal-scanner,316,38,
2026-07-08T10:07:00,10.0.0.51,10.0.0.60,443,/reports,200,,,GET,tcp,data.lab,Mozilla/5.0,950000,9500,ja3-browser
2026-07-08T10:08:00,198.51.100.33,10.0.0.42,443,/exec?cmd=|cat%20/etc/passwd,200,,,GET,tcp,app.lab,curl/8.0,320,65,ja3-browser
2026-07-08T10:08:10,198.51.100.22,10.0.0.42,443,/view?page=php://filter/convert.base64-encode/resource=index.php,200,,,GET,tcp,app.lab,curl/8.0,450,70,ja3-browser
2026-07-08T10:08:20,198.51.100.11,10.0.0.42,443,/shell?cmd=eval($_POST[cmd]),200,,,POST,tcp,app.lab,webshell-client,800,210,ja3-browser
